baseline_start_s,response_window_s,temporal_summary,roi_aggregation,cohort,paired_slice_count,common_scale_mean_effect,common_scale_median_effect,common_scale_positive_slices,within_roi_z_mean_effect,within_roi_z_median_effect,within_roi_z_positive_slices
40,15,mean,mean,ne_only_2023,5,6.386778095,8.464519948,4,3.404098366,6.159738732,3
40,15,mean,median,ne_only_2023,5,10.62954419,9.870379618,5,6.437538221,6.124443179,3
40,15,median,mean,ne_only_2023,5,6.815985382,10.43961847,4,3.741271228,6.747199272,3
40,15,median,median,ne_only_2023,5,13.12831191,11.83918984,5,7.669355884,6.22384679,3
40,30,mean,mean,ne_only_2023,5,7.526130306,9.701776946,5,4.764168157,8.182246614,4
40,30,mean,median,ne_only_2023,5,12.12889363,11.38002491,5,7.893648233,8.905102822,4
40,30,median,mean,ne_only_2023,5,8.281978545,9.647626546,5,5.674842647,7.641170315,4
40,30,median,median,ne_only_2023,5,13.6100537,12.81976799,5,9.245690639,10.96565892,4
40,45,mean,mean,ne_only_2023,5,7.657764585,9.249630675,5,5.112662531,7.327733844,4
40,45,mean,median,ne_only_2023,5,12.42185503,11.47564232,5,8.08213253,9.185568107,4
40,45,median,mean,ne_only_2023,5,8.488124366,9.166805376,5,5.745505483,7.980367168,4
40,45,median,median,ne_only_2023,5,13.57143146,11.84231078,5,8.750845014,11.09418671,4
60,15,mean,mean,ne_only_2023,5,5.822854222,5.369141238,4,2.82084324,5.596127322,3
60,15,mean,median,ne_only_2023,5,7.874887541,5.141320032,5,6.128799335,6.304357238,3
60,15,median,mean,ne_only_2023,5,6.203126226,6.386154987,4,2.959385048,4.369877753,3
60,15,median,median,ne_only_2023,5,9.636482382,7.395723504,5,6.903765715,6.819268226,3
60,30,mean,mean,ne_only_2023,5,6.605879574,6.142489122,5,3.060762996,1.244376205,4
60,30,mean,median,ne_only_2023,5,9.509555723,5.927669684,5,6.289293161,6.528805879,4
60,30,median,mean,ne_only_2023,5,7.063616824,8.211188777,5,3.292400992,2.840025186,3
60,30,median,median,ne_only_2023,5,11.20202746,6.854137154,5,6.861484694,3.946114282,4
60,45,mean,mean,ne_only_2023,5,6.666987389,8.428747538,5,3.122884373,2.359306123,3
60,45,mean,median,ne_only_2023,5,10.0739564,7.210894418,5,6.074772345,5.313152752,4
60,45,median,mean,ne_only_2023,5,7.356817186,9.700662435,5,3.477368448,3.84540363,3
60,45,median,median,ne_only_2023,5,11.49837178,8.727250661,5,6.760529255,6.709670214,4
70,15,mean,mean,ne_only_2023,5,6.208957193,6.017985406,4,2.505221304,6.084889281,3
70,15,mean,median,ne_only_2023,5,8.064878204,5.76263271,5,2.707509697,-2.539565689,2
70,15,median,mean,ne_only_2023,5,6.617171983,7.157902132,4,2.505305216,4.80262507,3
70,15,median,median,ne_only_2023,5,9.852340182,8.289473892,5,2.789376115,-2.603217078,2
70,30,mean,mean,ne_only_2023,5,6.812462569,5.792896799,5,2.652829077,0.3090789884,3
70,30,mean,median,ne_only_2023,5,9.79805119,6.644010293,5,3.604678575,1.307857012,3
70,30,median,mean,ne_only_2023,5,7.209373105,7.74385892,5,2.831423718,1.306963265,3
70,30,median,median,ne_only_2023,5,11.66299704,7.484576809,5,3.901764716,2.685220806,3
70,45,mean,mean,ne_only_2023,5,6.791439858,7.949035588,5,2.723847765,1.023351993,3
70,45,mean,median,ne_only_2023,5,10.43376113,6.800495102,5,3.531139917,2.362814235,3
70,45,median,mean,ne_only_2023,5,7.439868152,8.96513056,5,3.120175114,2.500077948,3
70,45,median,median,ne_only_2023,5,11.99851635,8.230549767,5,3.947462154,4.727154717,3
40,15,mean,mean,post_low_histamine_2025,7,5.718059182,2.86735385,6,7.361823986,3.275327135,5
40,15,mean,median,post_low_histamine_2025,7,5.35842339,2.299085074,5,6.073098838,2.236042036,4
40,15,median,mean,post_low_histamine_2025,7,6.460288655,3.550085257,6,8.22762291,3.993790376,5
40,15,median,median,post_low_histamine_2025,7,5.255002373,2.357827936,6,5.092390019,2.283460418,5
40,30,mean,mean,post_low_histamine_2025,7,6.359706796,2.861618687,6,8.309615481,3.331689506,6
40,30,mean,median,post_low_histamine_2025,7,5.049733084,1.720608945,5,7.814329005,0.1476842279,4
40,30,median,mean,post_low_histamine_2025,7,7.023826383,2.847117152,5,9.256279275,3.289048626,6
40,30,median,median,post_low_histamine_2025,7,5.570286535,1.54859624,6,8.890227833,0.4171208039,5
40,45,mean,mean,post_low_histamine_2025,7,5.701590254,2.600822725,5,7.584380352,3.087360689,6
40,45,mean,median,post_low_histamine_2025,7,4.592278203,0.997922621,4,7.610524492,0.1841643701,4
40,45,median,mean,post_low_histamine_2025,7,5.422192012,2.408595659,5,7.27542082,2.86248978,6
40,45,median,median,post_low_histamine_2025,7,4.359048738,0.9274247943,5,6.733421547,0.2350843615,4
60,15,mean,mean,post_low_histamine_2025,7,4.089804371,1.86746241,6,5.360342328,2.160055038,6
60,15,mean,median,post_low_histamine_2025,7,3.762518687,1.497357904,5,5.439413946,2.000678559,5
60,15,median,mean,post_low_histamine_2025,7,4.590517064,2.312114624,6,5.857964336,2.613158633,6
60,15,median,median,post_low_histamine_2025,7,3.636159292,1.535616205,6,4.540950196,2.270305083,4
60,30,mean,mean,post_low_histamine_2025,7,4.586729184,1.863727188,6,6.209415205,2.102034934,5
60,30,mean,median,post_low_histamine_2025,7,3.640351293,1.120605511,5,5.873824816,1.342378328,4
60,30,median,mean,post_low_histamine_2025,7,5.081143562,1.854282567,5,6.987319401,2.07352145,5
60,30,median,median,post_low_histamine_2025,7,4.049642997,1.096768244,6,6.059749851,1.233356222,4
60,45,mean,mean,post_low_histamine_2025,7,4.100666839,1.693874885,5,5.696816995,1.931323741,5
60,45,mean,median,post_low_histamine_2025,7,3.302656171,0.7067625582,4,5.129065936,0.5646366346,4
60,45,median,mean,post_low_histamine_2025,7,3.856679702,1.568680424,5,5.503629907,1.789703128,4
60,45,median,median,post_low_histamine_2025,7,3.127684819,0.7419398354,5,4.328875719,-0.5895638707,3
70,15,mean,mean,post_low_histamine_2025,7,3.638119078,1.851089728,6,4.371146574,1.749182512,4
70,15,mean,median,post_low_histamine_2025,7,3.339024362,1.484230056,5,4.724852059,1.95757175,5
70,15,median,mean,post_low_histamine_2025,7,4.061965128,2.291843525,6,4.87847636,2.138958954,4
70,15,median,median,post_low_histamine_2025,7,3.212259006,1.522152933,6,4.441933006,1.992380311,5
70,30,mean,mean,post_low_histamine_2025,7,4.086314592,1.847387255,6,5.024133298,1.700023715,4
70,30,mean,median,post_low_histamine_2025,7,3.237128333,1.11078078,5,5.093884608,1.327066696,4
70,30,median,mean,post_low_histamine_2025,7,4.519426794,1.838025437,5,5.657666679,1.695140943,4
70,30,median,median,post_low_histamine_2025,7,3.558746297,1.016436254,6,5.458939036,1.268005255,5
70,45,mean,mean,post_low_histamine_2025,7,3.64756416,1.679024105,5,4.602894196,1.537229611,4
70,45,mean,median,post_low_histamine_2025,7,2.900922233,0.6549962502,4,4.526617441,1.216788733,5
70,45,median,mean,post_low_histamine_2025,7,3.432380804,1.554927267,5,4.451679285,1.416973992,4
70,45,median,median,post_low_histamine_2025,7,2.723819326,0.5707229503,5,4.005609735,0.415364475,4
